"feature.ID","Airlock","Columbus","JLP","JPM","Node 1","Node 2","Node 3","PMM","US Lab"
"12059",4,8,4,16,16,11,19,12,17
"20740",1,6,5,8,5,5,6,6,5
"20415",1,3,0,3,5,0,1,2,2
"20235",6,3,2,5,9,7,8,6,7
"19851",0,3,2,4,2,3,6,2,5
"20885",0,0,1,1,1,1,3,0,1
"19711",4,4,5,8,11,7,13,4,11
"19198",5,8,6,19,10,14,20,8,15
"18494",2,7,3,9,9,7,11,11,6
"18897",1,2,3,1,6,7,7,4,5
"17627",1,1,2,7,5,2,6,2,0
"17202",2,7,3,9,8,16,18,1,7
"90",1,3,1,6,7,9,15,2,1
"20129",0,2,0,0,0,4,0,1,0
"19738",1,8,2,5,4,9,8,2,6
"17715",2,6,5,10,8,11,6,7,3
"21199",1,3,5,10,10,9,15,7,12
"16294",0,7,0,15,11,20,19,7,8
"21382",2,2,5,13,15,11,21,8,10
"21454",3,12,4,10,9,9,16,7,11
"20719",0,1,4,6,7,6,9,3,8
"20365",0,4,2,3,4,5,6,3,3
"20108",1,5,2,3,14,7,12,3,6
"19665",0,0,1,5,5,4,7,3,6
"19136",2,4,3,12,13,9,7,6,9
"18731",0,3,2,8,9,7,9,0,6
"18332",0,1,0,5,5,7,1,2,1
"21274",3,1,1,2,1,1,4,1,1
"2627",10,23,18,39,58,37,65,24,47
"2246",9,35,19,47,62,52,71,28,41
"397",16,41,19,51,70,60,96,52,63
"1496",3,2,1,4,9,9,12,12,3
"21425",3,4,3,6,8,4,8,2,6
"21217",1,1,2,5,5,6,7,2,5
"18209",3,4,1,8,7,12,14,6,5
"1861",0,1,0,0,2,0,3,1,2
"2942",2,2,4,6,11,10,8,3,10
"3499",5,7,5,16,10,14,14,9,23
"1507",2,3,1,1,3,1,0,1,3
"475",5,13,3,17,19,14,31,22,26
"770",2,2,4,5,9,10,11,5,6
"9610",0,2,1,1,1,2,1,2,1
"3640",18,61,35,82,109,94,143,68,86
"3791",7,22,16,25,36,32,42,23,22
"16569",0,2,1,3,5,7,6,7,2
"2543",0,2,0,2,2,1,3,2,1
"3244",7,12,11,14,8,14,22,9,20
"10983",0,6,2,4,6,4,1,1,3
